,X,Y,OBJECTID,INCKEY,COLDETKEY,REPORTNO,STATUS,ADDRTYPE,INTKEY,LOCATION,EXCEPTRSNCODE,EXCEPTRSNDESC,SEVERITYCODE,SEVERITYDESC,COLLISIONTYPE,PERSONCOUNT,PEDCOUNT,PEDCYLCOUNT,VEHCOUNT,INJURIES,SERIOUSINJURIES,FATALITIES,INCDATE,INCDTTM,JUNCTIONTYPE,SDOT_COLCODE,SDOT_COLDESC,INATTENTIONIND,UNDERINFL,WEATHER,ROADCOND,LIGHTCOND,PEDROWNOTGRNT,SDOTCOLNUM,SPEEDING,ST_COLCODE,ST_COLDESC,SEGLANEKEY,CROSSWALKKEY,HITPARKEDCAR,Date,Latitude,Longitude,geometry,index_right
138657,-122.33708679815666,47.60729905819726,140658,156432,156452,3546322,Matched,Intersection,29603.0,2ND AVE AND UNIVERSITY ST, ,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2013-11-06T00:00:00.000Z,11/6/2013 10:15:00 AM,At Intersection (intersection related),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Overcast,Dry,Daylight,,,,45,Vehicle - Pedalcyclist,12162,0,N,2013-11-06 10:15:00,47.60729905819726,-122.33708679815666,POINT (-122.3370867981567 47.60729905819726),0
138666,-122.29692233135616,47.67577773558983,140667,157645,157665,3572807,Matched,Block,,NE 65TH ST BETWEEN 28TH AVE NE AND 29TH AVE NE, ,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2013-11-29T00:00:00.000Z,11/29/2013 4:34:00 PM,Mid-Block (not related to intersection),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",Y,N,Clear or Partly Cloudy,Dry,Dark - Street Lights On,,,,45,Vehicle - Pedalcyclist,29805,0,N,2013-11-29 16:34:00,47.67577773558983,-122.29692233135616,POINT (-122.2969223313562 47.67577773558983),0
138683,-122.32768599229252,47.60171208054192,140684,161662,161682,3641488,Matched,Block,,YESLER WAY BETWEEN TERRACE ST AND 6TH AVE, ,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2014-01-24T00:00:00.000Z,1/24/2014 9:24:00 AM,Mid-Block (but intersection related),51.0,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,N,Clear or Partly Cloudy,Dry,Daylight,,,Y,45,Vehicle - Pedalcyclist,9972,0,N,2014-01-24 09:24:00,47.60171208054192,-122.32768599229252,POINT (-122.3276859922925 47.60171208054192),0
138687,-122.32914562785632,47.62139831384432,140688,158823,158843,3593822,Matched,Block,,EASTLAKE AVE E BETWEEN THOMAS ST AND HARRISON ST, ,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2013-12-17T00:00:00.000Z,12/17/2013 6:40:00 PM,Mid-Block (not related to intersection),56.0,PEDALCYCLIST STRUCK MOTOR VEHICLE LEFT SIDE SIDESWIPE,Y,N,Unknown,Unknown,Dark - Street Lights Off,,,,45,Vehicle - Pedalcyclist,11566,0,N,2013-12-17 18:40:00,47.62139831384432,-122.32914562785632,POINT (-122.3291456278563 47.62139831384432),0
138700,-122.33935700687488,47.60978057021046,140701,158630,158650,3640959,Matched,Block,,2ND AVE BETWEEN PIKE ST AND PINE ST, ,,2,Injury Collision,Cycles,3,0,1,1,1,0,0,2013-12-19T00:00:00.000Z,12/19/2013 4:17:00 PM,Mid-Block (not related to intersection),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",Y,N,Clear or Partly Cloudy,Dry,Dusk,Y,,,45,Vehicle - Pedalcyclist,12179,0,N,2013-12-19 16:17:00,47.60978057021046,-122.33935700687488,POINT (-122.3393570068749 47.60978057021046),0
138749,-122.37093216039096,47.574309992744816,140750,160572,160592,3386159,Matched,Block,,HARBOR AVE SW BETWEEN SW HARBOR LN AND SW SPOKANE NR ST, ,,2,Injury Collision,Cycles,3,0,1,1,1,0,0,2014-01-25T00:00:00.000Z,1/25/2014 2:42:00 PM,Driveway Junction,51.0,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,Y,N,Clear or Partly Cloudy,Dry,Daylight,Y,,,45,Vehicle - Pedalcyclist,0,0,N,2014-01-25 14:42:00,47.574309992744816,-122.37093216039096,POINT (-122.370932160391 47.57430999274482),0
138761,-122.33623843307358,47.60469504653443,140762,164239,164259,3640992,Matched,Intersection,29621.0,1ST AVE AND MADISON ST, ,,2,Injury Collision,Cycles,6,0,2,1,2,0,0,2014-03-08T00:00:00.000Z,3/8/2014 5:58:00 PM,At Intersection (intersection related),51.0,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,Y,N,Raining,Wet,Dark - Street Lights On,,,,45,Vehicle - Pedalcyclist,36771,0,N,2014-03-08 17:58:00,47.60469504653443,-122.33623843307358,POINT (-122.3362384330736 47.60469504653443),0
138767,-122.366666274663,47.66146316065559,140768,166949,166969,3591189,Matched,Block,,NW 45TH ST BETWEEN 8TH AVE NW AND LEARY WAY NW, ,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2014-04-21T00:00:00.000Z,4/21/2014 5:52:00 PM,Mid-Block (not related to intersection),21.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, REAR END",,N,Clear or Partly Cloudy,Dry,Daylight,,,,45,Vehicle - Pedalcyclist,0,0,N,2014-04-21 17:52:00,47.66146316065559,-122.366666274663,POINT (-122.366666274663 47.66146316065559),0
138892,-122.32072786134599,47.66131900334303,140893,165333,165353,3587552,Matched,Intersection,27070.0,7TH AVE NE AND NE 45TH ST, ,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2014-03-25T00:00:00.000Z,3/25/2014 5:25:00 PM,At Intersection (intersection related),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Overcast,Wet,Daylight,,,,45,Vehicle - Pedalcyclist,0,522070,N,2014-03-25 17:25:00,47.66131900334303,-122.32072786134599,POINT (-122.320727861346 47.66131900334303),0
138939,-122.31722672722152,47.59749957158916,140940,161963,161983,3586176,Matched,Intersection,30436.0,12TH AVE S AND S WELLER ST, ,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2014-02-11T00:00:00.000Z,2/11/2014 7:30:00 PM,At Intersection (intersection related),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",Y,N,Raining,Wet,Dark - Street Lights On,,,,45,Vehicle - Pedalcyclist,16233,0,N,2014-02-11 19:30:00,47.59749957158916,-122.31722672722152,POINT (-122.3172267272215 47.59749957158916),0
138965,-122.32636052429417,47.59919275577297,140966,163105,163125,3574440,Matched,Intersection,30511.0,6TH AVE S AND S JACKSON ST, ,,2,Injury Collision,Cycles,4,0,1,1,1,0,0,2014-03-01T00:00:00.000Z,3/1/2014 3:40:00 PM,At Intersection (intersection related),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Unknown,Wet,Daylight,,,,45,Vehicle - Pedalcyclist,24416,0,N,2014-03-01 15:40:00,47.59919275577297,-122.32636052429417,POINT (-122.3263605242942 47.59919275577297),0
139066,-122.30276995562323,47.60800896071419,138067,153471,153491,3672443,Matched,Intersection,30173.0,23RD AVE AND E CHERRY ST, ,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2013-09-08T00:00:00.000Z,9/8/2013 5:45:00 PM,At Intersection (intersection related),51.0,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,N,Clear or Partly Cloudy,Dry,Daylight,Y,,Y,45,Vehicle - Pedalcyclist,9564,0,N,2013-09-08 17:45:00,47.60800896071419,-122.30276995562323,POINT (-122.3027699556232 47.60800896071419),0
139080,-122.27002476583569,47.51685113706965,138081,159060,159080,3467439,Matched,Intersection,35472.0,51ST AVE S AND S ROXBURY ST, ,,2,Injury Collision,Cycles,3,0,1,1,1,0,0,2013-12-28T00:00:00.000Z,12/28/2013 5:27:00 PM,At Intersection (intersection related),51.0,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,Y,N,Clear or Partly Cloudy,Dry,Dark - Street Lights On,,,,45,Vehicle - Pedalcyclist,0,522022,N,2013-12-28 17:27:00,47.51685113706965,-122.27002476583569,POINT (-122.2700247658357 47.51685113706965),0
139101,-122.31015223548972,47.61543076026522,138102,157544,157564,3585576,Matched,Block,,17TH AVE BETWEEN E PINE ST AND E MADISON ST, ,,1,Property Damage Only Collision,Cycles,2,0,1,1,0,0,0,2013-11-21T00:00:00.000Z,11/21/2013 12:00:00 PM,,0.0,NOT ENOUGH INFORMATION / NOT APPLICABLE,,N,Clear or Partly Cloudy,Dry,Daylight,,,,45,Vehicle - Pedalcyclist,0,0,N,2013-11-21 12:00:00,47.61543076026522,-122.31015223548972,POINT (-122.3101522354897 47.61543076026522),0
139144,-122.33420024808396,47.58085453523229,138145,157579,157599,3590143,Matched,Block,,1ST AVE S BETWEEN S STACY ST AND S LANDER ST, ,,1,Property Damage Only Collision,Cycles,4,0,1,1,0,0,0,2013-11-26T00:00:00.000Z,11/26/2013 5:07:00 PM,Mid-Block (not related to intersection),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Raining,Wet,Dark - Street Lights On,Y,,,45,Vehicle - Pedalcyclist,5318,0,N,2013-11-26 17:07:00,47.58085453523229,-122.33420024808396,POINT (-122.334200248084 47.58085453523229),0
139191,-122.30156537450605,47.63524417736177,138192,157937,157957,3606165,Matched,Intersection,28375.0,24TH AVE E AND BOYER AVE E, ,,2,Injury Collision,Cycles,3,0,1,2,1,0,0,2013-10-08T00:00:00.000Z,10/8/2013 9:34:00 PM,At Intersection (intersection related),51.0,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,Y,Overcast,Dry,Dark - Street Lights On,,,,45,Vehicle - Pedalcyclist,22451,0,N,2013-10-08 21:34:00,47.63524417736177,-122.30156537450605,POINT (-122.3015653745061 47.63524417736177),0
139277,-122.34780152860571,47.73412900698474,138278,156965,156985,E269115,Matched,Intersection,35773.0,LINDEN AVE N AND N 145TH ST, ,,2,Injury Collision,Cycles,0,0,1,1,1,0,0,2013-09-07T00:00:00.000Z,9/7/2013 3:50:00 PM,At Intersection (intersection related),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Clear or Partly Cloudy,Dry,Daylight,,,,45,Vehicle - Pedalcyclist,0,523874,N,2013-09-07 15:50:00,47.73412900698474,-122.34780152860571,POINT (-122.3478015286057 47.73412900698474),0
139308,-122.27071926620158,47.56293850500703,138309,157393,157413,3579962,Matched,Intersection,32599.0,50TH AVE S AND S OREGON ST, ,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2013-11-23T00:00:00.000Z,11/23/2013 4:24:00 PM,At Intersection (intersection related),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",Y,N,Clear or Partly Cloudy,Dry,Daylight,,,,45,Vehicle - Pedalcyclist,8150,0,N,2013-11-23 16:24:00,47.56293850500703,-122.27071926620158,POINT (-122.2707192662016 47.56293850500703),0
139309,-122.32588475826348,47.643840562090965,138310,157710,157730,3585607,Matched,Block,,EASTLAKE AVE E BETWEEN E ROANOKE ST AND E EDGAR ST, ,,2,Injury Collision,Cycles,2,0,1,1,2,0,0,2013-11-29T00:00:00.000Z,11/29/2013 10:34:00 AM,Mid-Block (not related to intersection),21.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, REAR END",,N,Overcast,Dry,Daylight,Y,,,45,Vehicle - Pedalcyclist,24704,0,N,2013-11-29 10:34:00,47.643840562090965,-122.32588475826348,POINT (-122.3258847582635 47.64384056209096),0
139345,-122.37890792657608,47.67771391636425,138346,156616,156636,3564641,Matched,Intersection,23940.0,17TH AVE NW AND NW 67TH ST, ,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2013-11-07T00:00:00.000Z,11/7/2013 3:30:00 PM,At Intersection (intersection related),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Raining,Wet,Daylight,,,,45,Vehicle - Pedalcyclist,0,0,N,2013-11-07 15:30:00,47.67771391636425,-122.37890792657608,POINT (-122.3789079265761 47.67771391636425),0
139439,-122.33620564034997,47.70685410243383,138440,157409,157429,3613170,Matched,Intersection,36357.0,N 107TH ST AND N NORTHGATE WAY, ,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2013-11-23T00:00:00.000Z,11/23/2013 11:44:00 AM,At Intersection (intersection related),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Clear or Partly Cloudy,Dry,Daylight,Y,,,45,Vehicle - Pedalcyclist,0,0,N,2013-11-23 11:44:00,47.70685410243383,-122.33620564034997,POINT (-122.33620564035 47.70685410243383),0
139446,-122.32680418837404,47.61521815296027,138447,158378,158398,3585701,Matched,Intersection,29862.0,BELLEVUE AVE AND E PINE ST, ,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2013-12-13T00:00:00.000Z,12/13/2013 7:34:00 AM,At Intersection (intersection related),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Raining,Wet,Dawn,,,,45,Vehicle - Pedalcyclist,10342,0,N,2013-12-13 07:34:00,47.61521815296027,-122.32680418837404,POINT (-122.326804188374 47.61521815296027),0
139452,-122.3201135750286,47.61408041631666,138453,157569,157589,3575037,Matched,Block,,E PIKE ST BETWEEN BROADWAY AND 10TH AVE, ,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2013-11-26T00:00:00.000Z,11/26/2013 6:10:00 PM,Mid-Block (not related to intersection),56.0,PEDALCYCLIST STRUCK MOTOR VEHICLE LEFT SIDE SIDESWIPE,,N,Overcast,Wet,Dark - Street Lights On,,,,45,Vehicle - Pedalcyclist,31226,0,N,2013-11-26 18:10:00,47.61408041631666,-122.3201135750286,POINT (-122.3201135750286 47.61408041631666),0
139519,-122.3132071679152,47.65831484888337,138520,156768,156788,3582682,Matched,Intersection,27090.0,UNIVERSITY WAY NE AND NE 42ND ST, ,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2013-11-12T00:00:00.000Z,11/12/2013 8:30:00 PM,At Intersection (intersection related),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",Y,N,Clear or Partly Cloudy,Dry,Dark - Street Lights On,,,,45,Vehicle - Pedalcyclist,41818,0,N,2013-11-12 20:30:00,47.65831484888337,-122.3132071679152,POINT (-122.3132071679152 47.65831484888337),0
139592,-122.26999747846062,47.5214107872866,138593,156937,156957,3643215,Matched,Intersection,35449.0,RAINIER AVE S AND S FISHER PL, ,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2013-11-14T00:00:00.000Z,11/14/2013 9:58:00 AM,At Intersection (intersection related),51.0,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,N,Overcast,Wet,Daylight,,,,45,Vehicle - Pedalcyclist,0,0,N,2013-11-14 09:58:00,47.5214107872866,-122.26999747846062,POINT (-122.2699974784606 47.5214107872866),0
139609,-122.32028043547771,47.67417167526289,138610,157192,157212,3206168,Matched,Intersection,25706.0,NE 63RD ST AND NE RAVENNA WB BV, ,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2013-11-18T00:00:00.000Z,11/18/2013 6:00:00 PM,At Intersection (intersection related),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Raining,Wet,Dark - Street Lights On,Y,,,45,Vehicle - Pedalcyclist,28777,0,N,2013-11-18 18:00:00,47.67417167526289,-122.32028043547771,POINT (-122.3202804354777 47.67417167526289),0
139629,-122.32311114684174,47.59583223714904,138630,156537,156557,2898375,Matched,Block,,S DEARBORN ST BETWEEN 7TH AVE S AND 8TH AVE S, ,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2011-05-04T00:00:00.000Z,5/4/2011 9:54:00 AM,Mid-Block (not related to intersection),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Clear or Partly Cloudy,Dry,Daylight,Y,,,45,Vehicle - Pedalcyclist,0,0,N,2011-05-04 09:54:00,47.59583223714904,-122.32311114684174,POINT (-122.3231111468417 47.59583223714904),0
139644,-122.32001617622971,47.61524085523933,138645,156936,156956,3606380,Matched,Intersection,29737.0,NAGLE PL AND E PINE ST, ,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2013-11-14T00:00:00.000Z,11/14/2013 6:36:00 AM,At Intersection (intersection related),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Clear or Partly Cloudy,Dry,Dark - Street Lights On,Y,,,45,Vehicle - Pedalcyclist,10408,0,N,2013-11-14 06:36:00,47.61524085523933,-122.32001617622971,POINT (-122.3200161762297 47.61524085523933),0
139685,-122.32389345337036,47.67588713925176,138686,156421,156441,3646296,Matched,Block,,NE 65TH ST BETWEEN 4TH AVE NE AND 5TH W AVE NE, ,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2013-11-05T00:00:00.000Z,11/5/2013 11:40:00 AM,Mid-Block (not related to intersection),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Overcast,Wet,Unknown,Y,,,45,Vehicle - Pedalcyclist,6656,0,N,2013-11-05 11:40:00,47.67588713925176,-122.32389345337036,POINT (-122.3238934533704 47.67588713925176),0
139775,-122.28926742181916,47.538125311234985,138776,156780,156800,3643568,Matched,Block,,S MYRTLE PL BETWEEN 33RD AVE S AND 35TH AVE S, ,,2,Injury Collision,Cycles,4,0,1,1,1,0,0,2013-11-07T00:00:00.000Z,11/7/2013 3:58:00 PM,Mid-Block (not related to intersection),51.0,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,Y,N,Clear or Partly Cloudy,Dry,Daylight,,,,45,Vehicle - Pedalcyclist,0,0,N,2013-11-07 15:58:00,47.538125311234985,-122.28926742181916,POINT (-122.2892674218192 47.53812531123499),0
139786,-122.31776595018732,47.65891124921488,138787,156786,156806,3646387,Matched,Block,,ROOSEVELT WAY NE BETWEEN NE 42ND N ST AND NE 43RD S ST, ,,2,Injury Collision,Cycles,3,0,1,2,1,0,0,2013-11-08T00:00:00.000Z,11/8/2013 8:07:00 AM,Mid-Block (not related to intersection),51.0,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,N,Overcast,Dry,Daylight,,,,45,Vehicle - Pedalcyclist,8990,0,N,2013-11-08 08:07:00,47.65891124921488,-122.31776595018732,POINT (-122.3177659501873 47.65891124921488),0
139932,-122.31610420194168,47.54797378109826,138933,156787,156807,3590137,Matched,Intersection,33128.0,13TH AVE S AND S BAILEY ST, ,,1,Property Damage Only Collision,Cycles,2,0,1,1,0,0,0,2013-11-13T00:00:00.000Z,11/13/2013 2:00:00 PM,At Intersection (intersection related),51.0,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,N,Clear or Partly Cloudy,Dry,Daylight,,,,45,Vehicle - Pedalcyclist,32942,0,N,2013-11-13 14:00:00,47.54797378109826,-122.31610420194168,POINT (-122.3161042019417 47.54797378109826),0
139944,-122.38869508175344,47.67237566184097,138945,159062,159082,3501687,Matched,Block,,NW 60TH ST BETWEEN 24TH AVE NW AND DEAD END 3, ,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2013-12-27T00:00:00.000Z,12/27/2013 2:54:00 PM,Mid-Block (not related to intersection),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Overcast,Wet,Daylight,,,,45,Vehicle - Pedalcyclist,0,0,N,2013-12-27 14:54:00,47.67237566184097,-122.38869508175344,POINT (-122.3886950817534 47.67237566184097),0
139983,-122.35529822427992,47.684747789120365,138984,156755,156775,3582178,Matched,Intersection,24304.0,GREENWOOD AVE N AND N 77TH ST, ,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2013-11-07T00:00:00.000Z,11/7/2013 5:35:00 PM,At Intersection (intersection related),51.0,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,N,Raining,Wet,Dark - Street Lights On,,,Y,45,Vehicle - Pedalcyclist,4477,0,N,2013-11-07 17:35:00,47.684747789120365,-122.35529822427992,POINT (-122.3552982242799 47.68474778912037),0
140022,-122.29915965981644,47.57967346285829,141023,159516,159536,3504165,Matched,Block,,RAINIER AVE S BETWEEN S BAYVIEW ST AND S MCCLELLAN ST, ,,2,Injury Collision,Cycles,4,0,1,1,1,0,0,2014-01-02T00:00:00.000Z,1/2/2014 9:29:00 PM,Mid-Block (not related to intersection),21.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, REAR END",,N,Raining,Wet,Dark - Street Lights Off,,,,45,Vehicle - Pedalcyclist,20014,0,N,2014-01-02 21:29:00,47.57967346285829,-122.29915965981644,POINT (-122.2991596598164 47.57967346285829),0
140029,-122.31544243782363,47.66128458140644,141030,165334,165354,3587555,Matched,Intersection,27064.0,12TH AVE NE AND NE 45TH ST, ,,1,Property Damage Only Collision,Cycles,3,0,1,1,0,0,0,2014-03-27T00:00:00.000Z,3/27/2014 8:15:00 AM,At Intersection (intersection related),51.0,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,N,Raining,Wet,Daylight,,,,45,Vehicle - Pedalcyclist,7000,0,N,2014-03-27 08:15:00,47.66128458140644,-122.31544243782363,POINT (-122.3154424378236 47.66128458140644),0
140101,-122.31736368777136,47.6689768337989,141102,163427,163447,3503236,Matched,Block,,ROOSEVELT WAY NE BETWEEN NE 55TH ST AND NE 56TH ST, ,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2013-03-15T00:00:00.000Z,3/15/2013 2:13:00 PM,Mid-Block (not related to intersection),53.0,PEDALCYCLIST STRUCK MOTOR VEHICLE LEFT SIDE AT ANGLE,Y,N,Clear or Partly Cloudy,Dry,Daylight,,,,45,Vehicle - Pedalcyclist,9155,0,N,2013-03-15 14:13:00,47.6689768337989,-122.31736368777136,POINT (-122.3173636877714 47.6689768337989),0
140247,-122.34262691436464,47.65161865080639,141248,160613,160633,3576878,Matched,Block,,STONE WAY N BETWEEN N 36TH ST AND N 38TH ST, ,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2014-01-24T00:00:00.000Z,1/24/2014 8:54:00 AM,Driveway Junction,18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",Y,N,Clear or Partly Cloudy,Dry,Daylight,,,,45,Vehicle - Pedalcyclist,6292,0,N,2014-01-24 08:54:00,47.65161865080639,-122.34262691436464,POINT (-122.3426269143646 47.65161865080639),0
140302,-122.36610321167258,47.673988330057625,141303,166678,166698,3282644,Matched,Block,,8TH AVE NW BETWEEN NW 62ND S ST AND NW 62ND N ST, ,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2014-04-25T00:00:00.000Z,4/25/2014 6:00:00 PM,Mid-Block (not related to intersection),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",Y,N,Clear or Partly Cloudy,Dry,Daylight,,,,45,Vehicle - Pedalcyclist,2460,0,N,2014-04-25 18:00:00,47.673988330057625,-122.36610321167258,POINT (-122.3661032116726 47.67398833005763),0
140363,-122.31543289345478,47.61155749332638,141364,161803,161823,3586101,Matched,Intersection,29775.0,13TH AVE AND E SPRING ST, ,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2014-02-01T00:00:00.000Z,2/1/2014 2:30:00 AM,At Intersection (intersection related),51.0,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,Y,N,Clear or Partly Cloudy,Dry,Dark - Street Lights On,,,,45,Vehicle - Pedalcyclist,0,0,N,2014-02-01 02:30:00,47.61155749332638,-122.31543289345478,POINT (-122.3154328934548 47.61155749332638),0
140428,-122.35402457622487,47.61443342607126,141429,160050,160070,3288753,Matched,Intersection,29694.0,ALASKAN WAY AND CLAY ST, ,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2014-01-14T00:00:00.000Z,1/14/2014 9:00:00 AM,At Intersection (intersection related),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Overcast,Dry,Daylight,,,,45,Vehicle - Pedalcyclist,20786,0,N,2014-01-14 09:00:00,47.61443342607126,-122.35402457622487,POINT (-122.3540245762249 47.61443342607126),0
140447,-122.34237665840588,47.62147206993868,141448,160016,160036,3550122,Matched,Block,,DEXTER AVE N BETWEEN THOMAS ST AND HARRISON ST, ,,2,Injury Collision,Cycles,3,0,1,2,1,0,0,2014-01-13T00:00:00.000Z,1/13/2014 9:40:00 AM,Mid-Block (not related to intersection),56.0,PEDALCYCLIST STRUCK MOTOR VEHICLE LEFT SIDE SIDESWIPE,Y,N,Overcast,Dry,Daylight,,,,45,Vehicle - Pedalcyclist,12620,0,N,2014-01-13 09:40:00,47.62147206993868,-122.34237665840588,POINT (-122.3423766584059 47.62147206993868),0
140466,-122.30061728010725,47.66825204804784,141467,161103,161123,3591652,Matched,Block,,25TH AVE NE BETWEEN NE 54TH ST AND NE 55TH ST, ,,2,Injury Collision,Cycles,4,0,1,2,1,0,0,2014-02-01T00:00:00.000Z,2/1/2014 2:40:00 PM,Driveway Junction,18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Overcast,Dry,Daylight,Y,,,45,Vehicle - Pedalcyclist,18812,0,N,2014-02-01 14:40:00,47.66825204804784,-122.30061728010725,POINT (-122.3006172801072 47.66825204804784),0
140487,-122.3264973279967,47.615216166630354,141488,161043,161063,3586079,Matched,Block,,E PINE ST BETWEEN BELLEVUE AVE AND CRAWFORD PL, ,,2,Injury Collision,Cycles,3,0,1,1,1,0,0,2014-01-30T00:00:00.000Z,1/30/2014 8:21:00 PM,Mid-Block (but intersection related),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Raining,Wet,Dark - Street Lights On,Y,,,45,Vehicle - Pedalcyclist,10348,0,N,2014-01-30 20:21:00,47.615216166630354,-122.3264973279967,POINT (-122.3264973279967 47.61521616663035),0
140529,-122.37625590546868,47.6512545039085,141530,163120,163140,3373283,Matched,Block,,15TH AVE W BETWEEN W BERTONA ST AND W RUFFNER ST, ,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2014-03-03T00:00:00.000Z,3/3/2014 4:26:00 PM,Mid-Block (not related to intersection),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Clear or Partly Cloudy,Dry,Daylight,Y,,,45,Vehicle - Pedalcyclist,19330,0,N,2014-03-03 16:26:00,47.6512545039085,-122.37625590546868,POINT (-122.3762559054687 47.6512545039085),0
140569,-122.2810630159113,47.63372768057016,141570,162854,162874,3582366,Matched,Intersection,28530.0,MCGILVRA BLVD E AND E MADISON N ST, ,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2014-02-25T00:00:00.000Z,2/25/2014 8:00:00 AM,At Intersection (intersection related),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Clear or Partly Cloudy,Dry,Daylight,,,,45,Vehicle - Pedalcyclist,34286,0,N,2014-02-25 08:00:00,47.63372768057016,-122.2810630159113,POINT (-122.2810630159113 47.63372768057016),0
