,CRASH_RECORD_ID,RD_NO,CRASH_DATE_EST_I,CRASH_DATE,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,LANE_CNT,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,REPORT_TYPE,CRASH_TYPE,INTERSECTION_RELATED_I,NOT_RIGHT_OF_WAY_I,HIT_AND_RUN_I,DAMAGE,DATE_POLICE_NOTIFIED,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_NO,STREET_DIRECTION,STREET_NAME,BEAT_OF_OCCURRENCE,PHOTOS_TAKEN_I,STATEMENTS_TAKEN_I,DOORING_I,WORK_ZONE_I,WORK_ZONE_TYPE,WORKERS_PRESENT_I,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,LATITUDE,LONGITUDE,LOCATION,Date,Latitude,Longitude,geometry,index_right
151489,5ad32ebf8070be0026f3eca26c041c66a28ef351c31e95ef30d802b849b90ece00cef4216fc17f7a1042bb9fdeccf73c8b69f36afd2b219e77d42fbd2173670b,JB283936,,05/29/2018 03:55:00 PM,20,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,2.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,$500 OR LESS,05/29/2018 04:05:00 PM,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,11231,S,SPAULDING AVE,2211.0,,,,,,,2.0,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,1.0,0.0,15,3,5,41.688805356,-87.703017345,POINT (-87.703017344918 41.688805356174),2018-05-29 15:55:00,41.688805356,-87.703017345,POINT (-87.70301734500001 41.688805356),0
151510,5ad57003a849af619e7323b12ec98442c86655e884674069137a1955f9e6d0b6aec1c660675f919688c1e56e178368c35ca7cd012543f27ea122ff98dc6232e4,JA480831,,10/22/2017 12:41:00 AM,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,DIVIDED - W/MEDIAN (NOT RAISED),2.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,$500 OR LESS,10/22/2017 12:41:00 AM,NOT APPLICABLE,NOT APPLICABLE,9041,S,ASHLAND AVE,2221.0,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,1,10,41.729082289,-87.662721072,POINT (-87.662721072382 41.729082288923),2017-10-22 00:41:00,41.729082289,-87.662721072,POINT (-87.662721072 41.729082289),0
151803,5b09738b5f9bd68ebd416719416b5bb51b2483d318a337a97e23acc7f80ac7cfa5eaf590ca88c6ecd60644688629d1fd7a1690b8ee71a983b95fc061ec757917,JC168049,Y,02/27/2019 06:35:00 PM,0,STOP SIGN/FLASHER,OTHER,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,ONE-WAY,1.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,Y,"$501 - $1,500",02/27/2019 06:38:00 PM,DISREGARDING STOP SIGN,FAILING TO YIELD RIGHT-OF-WAY,5100,N,WINCHESTER AVE,2032.0,,,,,,,2.0,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,1.0,0.0,18,4,2,41.974789552,-87.677998153,POINT (-87.677998153094 41.974789551703),2019-02-27 18:35:00,41.974789552,-87.677998153,POINT (-87.677998153 41.974789552),0
151835,5b0f37521f76595994e0d0daea37f3cd7b54a8d6b607c19916bca4ce7511e3e7d59dc8f6665b886ac595675b5968e5b34026253a2bf45f5f4914772fbd3c3e61,HY419882,,09/11/2015 09:00:00 PM,30,TRAFFIC SIGNAL,UNKNOWN,UNKNOWN,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,NOT DIVIDED,4.0,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,,,Y,$500 OR LESS,09/11/2015 11:20:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,1,S,CICERO AVE,1113.0,,,,,,,2.0,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,1.0,0.0,21,6,9,41.880451176,-87.745128878,POINT (-87.745128877552 41.880451176199),2015-09-11 21:00:00,41.880451176,-87.745128878,POINT (-87.745128878 41.880451176),0
151846,5b10c51ee72d4500311698b5c3f921a281555079bb13e228f605727588718fdcd30db63d09004dbd0327aab3c4f7383a73ea4c6fb7c3704b8815c9a066f5eb75,JC432395,,09/13/2019 09:05:00 PM,30,OTHER,OTHER,CLEAR,DARKNESS,PEDALCYCLIST,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,Y,$500 OR LESS,09/13/2019 09:05:00 PM,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",NOT APPLICABLE,6900,S,UNION AVE,732.0,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,21,6,9,41.768784842,-87.64220067,POINT (-87.642200670004 41.768784841548),2019-09-13 21:05:00,41.768784842,-87.64220067,POINT (-87.64220066999999 41.768784842),0
151852,5b115efea56f84e9e004a5cce9a66d3ad7c36cfc754f2cbf5d6f6dab08a197b97d07170afd34d25b172ba64fbdd8965ba563ff17ad6d7f8984882d7b54477a52,JB404756,,08/22/2018 09:52:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,NOT DIVIDED,2.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,,,Y,$500 OR LESS,08/22/2018 10:00:00 PM,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",FAILING TO YIELD RIGHT-OF-WAY,2726,W,63RD ST,825.0,,,,,,,2.0,INCAPACITATING INJURY,1.0,0.0,1.0,0.0,0.0,1.0,0.0,21,4,8,41.779244773,-87.692118543,POINT (-87.692118543235 41.779244772784),2018-08-22 21:52:00,41.779244773,-87.692118543,POINT (-87.69211854300001 41.779244773),0
151936,5b1ecfa0de1b87c35c4a49e0477f1c19da3fea0ed7ce600f7ace565a8f190c95b7c12cc964bc7e1f4a5c5c3a3dc461dd697aa8f870062b1964ac5e0ec6e2ab84,JB366826,,07/26/2018 09:30:00 PM,35,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,DIVIDED - W/MEDIAN (NOT RAISED),2.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,$500 OR LESS,07/26/2018 09:55:00 PM,NOT APPLICABLE,NOT APPLICABLE,2425,W,DIVERSEY AVE,1411.0,,,Y,,,,2.0,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,1.0,0.0,21,5,7,41.932046851,-87.688978686,POINT (-87.688978686305 41.932046851025),2018-07-26 21:30:00,41.932046851,-87.688978686,POINT (-87.688978686 41.932046851),0
152128,5b3fea6e2e491787d80a37f67b53a31dbcedf6fb080b8f3cc821cc89da003499a8e1d6a1329d2b09ed8f760a138a211ff59055cbdb054a505ed4b358c8adbccf,JC437538,,09/14/2019 05:30:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,,,,$500 OR LESS,09/17/2019 06:06:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,3201,W,ARMITAGE AVE,1421.0,,,,,,,2.0,INCAPACITATING INJURY,1.0,0.0,1.0,0.0,0.0,1.0,0.0,17,7,9,41.917291496,-87.707051601,POINT (-87.707051601495 41.917291495646),2019-09-14 17:30:00,41.917291496,-87.707051601,POINT (-87.707051601 41.917291496),0
152235,5b4fd1573edc58319604e867538f452cb010a71019d969e7fe69816611907b5589f70bf429fae3a84f6eaf91ab48dccfd5e502719b066aacd5acf9bf8e455be6,JC421728,,09/05/2019 08:15:00 PM,15,NO CONTROLS,NO CONTROLS,CLEAR,DARKNESS,PEDALCYCLIST,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,Y,"OVER $1,500",09/05/2019 08:35:00 PM,FAILING TO YIELD RIGHT-OF-WAY,FAILING TO YIELD RIGHT-OF-WAY,2333,W,VAN BUREN ST,1225.0,,,,,,,2.0,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,1.0,0.0,20,5,9,41.875994745,-87.685160868,POINT (-87.685160868467 41.875994744577),2019-09-05 20:15:00,41.875994745,-87.685160868,POINT (-87.685160868 41.875994745),0
152260,5b64e9616b18df67ab84f275512cbe959876e0191a024e253e76348f660747fce3f0ba5d5fc5a1b70e17dde539e7123dc18896b94d10c4816187fc78463641c3,JA377370,,08/04/2017 05:40:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,4.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,$500 OR LESS,08/04/2017 07:00:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,1600,W,NORTH AVE,1433.0,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,17,6,8,41.910739124,-87.667755542,POINT (-87.667755542235 41.910739123576),2017-08-04 17:40:00,41.910739124,-87.667755542,POINT (-87.66775554199999 41.910739124),0
152421,5b6e0d112fdf69f06ba348cbe7dbce62d2e75b48a55777b6b199dd7e77a73a8a2097e00aabc022c4e7f98d80997850d0100dcdabf757f3d2730f3f7916b8196c,HZ394947,,08/16/2016 07:30:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DUSK,PEDALCYCLIST,OTHER,2.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",08/16/2016 07:31:00 PM,FAILING TO YIELD RIGHT-OF-WAY,DISREGARDING TRAFFIC SIGNALS,7100,S,COTTAGE GROVE AVE,323.0,,,N,,,,2.0,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,1.0,0.0,19,3,8,41.765800351,-87.605729127,POINT (-87.60572912699 41.765800351319),2016-08-16 19:30:00,41.765800351,-87.605729127,POINT (-87.605729127 41.765800351),0
152435,5b70269e92ee81e765bbb8f136f9b5c25946fa1c1f6b0aced5873be56063752d75828d98a06726889a529e63bf5a9bc0ecb2ff592bf49157e27c5a9a358526d7,JB492745,,10/27/2018 06:24:00 PM,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,RAIN,DARKNESS,PEDALCYCLIST,NOT DIVIDED,,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,,,$500 OR LESS,10/27/2018 06:25:00 PM,FAILING TO YIELD RIGHT-OF-WAY,UNABLE TO DETERMINE,759,S,FRANCISCO AVE,1135.0,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,18,7,10,41.871084379,-87.698328337,POINT (-87.698328336552 41.871084378796),2018-10-27 18:24:00,41.871084379,-87.698328337,POINT (-87.69832833700001 41.871084379),0
152441,5b7167c55e354f944647d7215c6225705eedf00f12fa390d7bf2b6f42c18a18b17a65ebdd7a94bfe017fea5f3e3af2ca391b4ba34db24cbe6fb2683678e41cf8,JB111172,,01/10/2018 02:30:00 PM,35,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDALCYCLIST,DIVIDED - W/MEDIAN BARRIER,2.0,STRAIGHT AND LEVEL,WET,NO DEFECTS,,INJURY AND / OR TOW DUE TO CRASH,Y,,,$500 OR LESS,01/10/2018 03:12:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,8700,S,VINCENNES AVE,2222.0,,,,,,,2.0,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,1.0,0.0,14,4,1,41.736006565,-87.645341819,POINT (-87.64534181898 41.736006564585),2018-01-10 14:30:00,41.736006565,-87.645341819,POINT (-87.645341819 41.736006565),0
152518,5b7f5d8da49d205fbe2cea14df5b3a7c4db572ee3d645ae0cac767e86d5710c187e0dd9ecb1253c394652d6e03c347f050de6050b332095ed62f0ba88d9dd1db,JB369629,,07/28/2018 10:45:00 PM,30,UNKNOWN,UNKNOWN,UNKNOWN,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,DIVIDED - W/MEDIAN (NOT RAISED),2.0,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",07/28/2018 11:00:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,2401,W,DIVERSEY AVE,1411.0,,,Y,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,22,7,7,41.932067788,-87.687939714,POINT (-87.687939714461 41.932067788301),2018-07-28 22:45:00,41.932067788,-87.687939714,POINT (-87.687939714 41.932067788),0
152565,5b8689b049a5831a798f800ba869a0c5818336d8062f91034563f1b7e2bbc35f723fcdecf4648938e2fcd599416a3c0afcf7bbeb2a1c1f96068e3c9de5ac62e9,JB333691,,07/03/2018 04:40:00 PM,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,$500 OR LESS,07/03/2018 04:41:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,3959,N,TROY ST,1733.0,,,,,,,2.0,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,1.0,0.0,16,3,7,41.953840552,-87.706644623,POINT (-87.70664462337 41.953840551908),2018-07-03 16:40:00,41.953840552,-87.706644623,POINT (-87.706644623 41.953840552),0
152579,5b88f657ff1e0c55e369a88f1c154e0584c1ca6c1c112ed0ba8d860cb837b0588d02a77051c30c36953d990384a826bad45702f4f84eba2a008b92868d92223f,JB389549,,08/11/2018 09:43:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,ONE-WAY,1.0,STRAIGHT AND LEVEL,DRY,UNKNOWN,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,Y,$500 OR LESS,08/11/2018 09:43:00 PM,FAILING TO YIELD RIGHT-OF-WAY,UNABLE TO DETERMINE,6458,S,BISHOP ST,725.0,,,,,,,3.0,NONINCAPACITATING INJURY,2.0,0.0,0.0,2.0,0.0,1.0,0.0,21,7,8,41.775972899,-87.66062216,POINT (-87.66062216017 41.775972898603),2018-08-11 21:43:00,41.775972899,-87.66062216,POINT (-87.66062216 41.775972899),0
152587,5b8a52dab78cd2bb2f0269ec6b1665b6948197de511efd1ae248c3bc094903296a29c214100e4cfdfe5d6aec81bd71feb298a7a5af767d36103683110ef4b52f,JB445559,,09/21/2018 08:18:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,DIVIDED - W/MEDIAN (NOT RAISED),2.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,Y,"$501 - $1,500",09/21/2018 08:31:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,2400,N,KEDZIE BLVD,1413.0,,,,,,,2.0,"REPORTED, NOT EVIDENT",1.0,0.0,0.0,0.0,1.0,1.0,0.0,20,6,9,41.924796934,-87.707367725,POINT (-87.707367724723 41.924796933803),2018-09-21 20:18:00,41.924796934,-87.707367725,POINT (-87.707367725 41.924796934),0
152593,5b8b770351687f4c3cff95eb48c93f5c4e3826ec2c01b5ebce48510c55ba7b038a335306d673de4b09480ac692270c333a54f8c861cd8a14b415ffd657280dc4,JA426096,,09/10/2017 04:00:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,2.0,STRAIGHT AND LEVEL,DRY,"RUT, HOLES",ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",09/10/2017 04:09:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,1614,W,BELMONT AVE,1922.0,,N,,,,,2.0,INCAPACITATING INJURY,1.0,0.0,1.0,0.0,0.0,1.0,0.0,16,1,9,41.939797426,-87.669314665,POINT (-87.669314664902 41.939797425555),2017-09-10 16:00:00,41.939797426,-87.669314665,POINT (-87.669314665 41.939797426),0
152616,5b8e8dc11830236302b44bdce6f075250d2e5b0705e453d2d487a9882ee54e28aa968608652f8946113489df15932336d1380820a437a3b7e78e929faf1e421e,JA473369,,10/16/2017 02:46:00 PM,30,TRAFFIC SIGNAL,UNKNOWN,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,4.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,$500 OR LESS,10/16/2017 02:46:00 PM,FAILING TO YIELD RIGHT-OF-WAY,IMPROPER TURNING/NO SIGNAL,2799,N,CICERO AVE,2521.0,,,,,,,2.0,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,1.0,0.0,14,2,10,41.931490968,-87.746445949,POINT (-87.746445949379 41.931490967585),2017-10-16 14:46:00,41.931490968,-87.746445949,POINT (-87.74644594900001 41.931490968),0
152695,5b9934f4adef3454a51cd647cdb5d0df2ad0d39cfc34d6d2a2713b0e95da97206977eb3811b4f3d29bb934dda9e87a0d9751811c7542357ae009ce21c71c85cd,JC378052,,08/04/2019 12:05:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDALCYCLIST,FOUR WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"$501 - $1,500",08/04/2019 12:12:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,1200,W,VAN BUREN ST,1231.0,,,,,,,2.0,INCAPACITATING INJURY,1.0,0.0,1.0,0.0,0.0,3.0,0.0,12,1,8,41.876628428,-87.657054091,POINT (-87.657054091457 41.876628428249),2019-08-04 12:05:00,41.876628428,-87.657054091,POINT (-87.65705409100001 41.876628428),0
152698,5b99734c5813f3a9558f4e92e7af8f899e127a29382e1c01ff45b33e46e5f43c3ee94e8473fc96cda83f190f8256f4bced85edd624da62233f912ade37c292e2,JB467580,,10/08/2018 05:10:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,2.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,$500 OR LESS,10/08/2018 05:15:00 PM,CELL PHONE USE OTHER THAN TEXTING,CELL PHONE USE OTHER THAN TEXTING,98,E,71ST ST,322.0,,,,,,,2.0,INCAPACITATING INJURY,1.0,0.0,1.0,0.0,0.0,0.0,0.0,17,2,10,41.765687449,-87.621775487,POINT (-87.621775486717 41.765687448825),2018-10-08 17:10:00,41.765687449,-87.621775487,POINT (-87.62177548699999 41.765687449),0
152766,5ba21150c2645c2e1b7a493defbdeebe30835192e5d010b1d572caa91102019790b42c80f9590f667b9232ad00a8d7c9be562f797ffaa6b41b567e0def5dbc98,JB416745,Y,08/31/2018 04:19:00 PM,0,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,4.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,Y,$500 OR LESS,08/31/2018 04:19:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,2505,N,LINCOLN AVE,1935.0,,,Y,,,,2.0,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,1.0,0.0,16,6,8,41.927444411,-87.65134313,POINT (-87.651343129843 41.927444411358),2018-08-31 16:19:00,41.927444411,-87.65134313,POINT (-87.65134313 41.927444411),0
152823,5baad4725f63c2596c8e45060b3285036fd6b026116a346b0994f05d9ff606b3c0a22ea58d6993558ced9e616acb89233c331803bfb74520791c7827438e0b5a,JA338896,,07/07/2017 08:05:00 PM,30,UNKNOWN,UNKNOWN,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,NOT DIVIDED,2.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",07/07/2017 08:10:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,7301,S,MORGAN ST,733.0,,,Y,,,,2.0,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,1.0,0.0,20,6,7,41.761400043,-87.6490211,POINT (-87.649021100293 41.761400043496),2017-07-07 20:05:00,41.761400043,-87.6490211,POINT (-87.6490211 41.761400043),0
152941,5bbcf02e695155cc7e79108632786b30732cf8c62e535fcc06f23213be8788c7da28edb20327fa136642f573392b5f8a68660f60e088dc6d1d6ebb8cc206347d,JB347706,,07/13/2018 09:40:00 AM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PEDALCYCLIST,DIVIDED - W/MEDIAN (NOT RAISED),4.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,$500 OR LESS,07/13/2018 09:41:00 AM,IMPROPER LANE USAGE,NOT APPLICABLE,1512,N,WESTERN AVE,1423.0,,,,,,,2.0,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,1.0,0.0,9,6,7,41.908921848,-87.6873315,POINT (-87.687331500369 41.908921848247),2018-07-13 09:40:00,41.908921848,-87.6873315,POINT (-87.6873315 41.908921848),0
153028,5bcac0fd0af2c8d9daed2b1de8ee052b9c6bcb24b9489120cf28876f8f2e5acd5d1c62f8f5517bdf973d0900c93b673c4a78e333ee65312e49fbd9fd91767d4c,JA330178,,07/01/2017 01:05:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,2.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,Y,$500 OR LESS,07/01/2017 01:14:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,2333,W,63RD ST,825.0,,,,,,,2.0,"REPORTED, NOT EVIDENT",1.0,0.0,0.0,0.0,1.0,1.0,0.0,13,7,7,41.779085868,-87.682380823,POINT (-87.682380823411 41.779085867649),2017-07-01 13:05:00,41.779085868,-87.682380823,POINT (-87.682380823 41.779085868),0
153049,5bce5811ce8c47b6c6adbcc39afb096701daa8d2c378509e42bb2da1c46b92895f42afbea911a9c0f2448af8ebc83854a000234fe1bd39f9c52c5001da5faac1,JB503906,N,11/05/2018 07:00:00 AM,30,STOP SIGN/FLASHER,NO CONTROLS,CLEAR,DAWN,PEDALCYCLIST,NOT DIVIDED,4.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,,INJURY AND / OR TOW DUE TO CRASH,Y,,,"$501 - $1,500",11/05/2018 07:05:00 AM,UNABLE TO DETERMINE,NOT APPLICABLE,5700,S,WESTERN AVE,824.0,,Y,,,,,1.0,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7,2,11,41.790118085,-87.684082168,POINT (-87.684082168007 41.790118084538),2018-11-05 07:00:00,41.790118085,-87.684082168,POINT (-87.684082168 41.790118085),0
153301,5bf251e644d2663f49577f0f42466c3548961a431cdb46075d0f5cefbfb306b1aeb5ed369800c9b20b71a203bbcfbbefdc43069a43ee44ec8b4f6c202285d660,JB235837,,04/24/2018 10:15:00 AM,25,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PEDALCYCLIST,ONE-WAY,1.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",04/24/2018 10:16:00 AM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,615,W,ROSCOE ST,1925.0,,,,,,,2.0,INCAPACITATING INJURY,1.0,0.0,1.0,0.0,0.0,1.0,0.0,10,3,4,41.94357121,-87.6452173,POINT (-87.645217300195 41.9435712105),2018-04-24 10:15:00,41.94357121,-87.6452173,POINT (-87.6452173 41.94357121),0
153340,5bf9df4cc815336dd89445e344b1cfe7ad7d528d9a18a678ab356c39ed47e5dea709231a7264b9344adc2ca681892af6d7a95b8c7f990e31e337fb6532f8c006,JB344871,,07/11/2018 09:20:00 AM,0,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDALCYCLIST,CENTER TURN LANE,4.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",07/11/2018 09:35:00 AM,FAILING TO YIELD RIGHT-OF-WAY,UNABLE TO DETERMINE,99,W,BURTON PL,1824.0,,,,,,,2.0,INCAPACITATING INJURY,1.0,0.0,1.0,0.0,0.0,1.0,0.0,9,4,7,41.909324925,-87.63152924,POINT (-87.631529240245 41.909324925012),2018-07-11 09:20:00,41.909324925,-87.63152924,POINT (-87.63152924000001 41.909324925),0
153383,5c003cd346576ef27c86912a391cf02897a0eebc1317c85606f8b9fc15a5edc4c22ac9c786d8ed5cdf95f425b1dffe3c99b7b414ae9931686c7573d9d66cae07,JA353501,,07/18/2017 05:36:00 PM,35,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDALCYCLIST,DIVIDED - W/MEDIAN BARRIER,4.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"$501 - $1,500",07/18/2017 05:39:00 PM,DISREGARDING TRAFFIC SIGNALS,NOT APPLICABLE,798,W,ROOSEVELT RD,1232.0,Y,Y,,,,,2.0,INCAPACITATING INJURY,1.0,0.0,1.0,0.0,0.0,1.0,0.0,17,3,7,41.867265076,-87.646832973,POINT (-87.646832973294 41.867265076386),2017-07-18 17:36:00,41.867265076,-87.646832973,POINT (-87.646832973 41.867265076),0
